,start_num,stop_reason,FX_best,X_best,dimensions,error_norm
204,4,stagnation_lim,-329.9999999881582,"[ 5.87732186e-06 -5.52422954e-07  3.09931399e-06 -2.79377399e-08
 -2.33075519e-06  2.40423010e-07 -4.06179541e-07 -3.09498774e-06]",8,1.1841791547340108e-08
205,5,stagnation_lim,-329.9999999960167,"[ 1.61683267e-06 -3.40522413e-06  1.67821249e-06 -5.52521278e-07
  1.03410247e-06  9.80506585e-07  4.47211982e-07 -7.18157245e-07]",8,3.983302576671122e-09
206,6,stagnation_lim,-329.9999999953669,"[ 3.30163874e-06  9.24979552e-07  2.09066316e-06 -1.90835293e-06
 -1.63688159e-06  9.44629631e-07  9.19559224e-08 -6.33493903e-08]",8,4.633079697669018e-09
207,7,stagnation_lim,-329.9999999976006,"[ 6.64773438e-07 -1.32157533e-07  7.63934703e-07 -2.29022007e-06
 -4.79730269e-08  3.49581800e-07 -5.35511020e-07 -2.32272164e-06]",8,2.399417553533567e-09
208,8,stagnation_lim,-329.99999999611754,"[ 1.37636701e-07  1.46115297e-07 -2.28278012e-06 -5.61760383e-08
 -6.20390338e-07 -8.26149751e-07 -6.61615444e-08  3.63915012e-06]",8,3.882462351612048e-09
209,9,stagnation_lim,-329.9999998634965,"[-5.64988210e-06  7.94375045e-06  2.32146172e-06 -9.89993874e-06
  1.99453892e-05  8.17974874e-06 -6.14787412e-07 -4.95198221e-06]",8,1.3650350183525006e-07
210,10,stagnation_lim,-329.9999999876959,"[ 3.43780988e-06  3.10319145e-07 -4.06737458e-06  9.86813710e-07
 -1.21334823e-07  2.66506363e-07 -1.39826156e-06  5.52683758e-06]",8,1.230409907293506e-08
211,11,stagnation_lim,-329.9999999969009,"[ 7.41070067e-07 -6.53550959e-07  4.63466302e-07 -2.53799531e-07
  2.71960854e-06 -7.75476039e-07  2.51633650e-06  1.89586165e-07]",8,3.099103196291253e-09
212,12,stagnation_lim,-329.9999999963357,"[ 5.58764360e-09 -6.64501818e-07 -2.43330529e-07 -3.61842620e-07
  3.26784196e-06  4.03370852e-07  2.57969762e-06  5.84705919e-07]",8,3.664297310024267e-09
213,13,stagnation_lim,-329.9999999829221,"[-1.30378730e-06 -9.26155100e-07  4.30000932e-06 -1.76820974e-06
 -2.19975026e-06  6.74896141e-06  3.38735445e-06  2.14035170e-07]",8,1.707792307570344e-08
214,14,stagnation_lim,-329.9999999980841,"[-1.67946696e-06  8.27876239e-08  3.49369978e-07  1.72458348e-06
  3.41023762e-07 -6.77769410e-07  1.51668518e-06 -9.25996552e-07]",8,1.915907432703534e-09
215,15,stagnation_lim,-329.99999996871264,"[-1.59563170e-06  7.84464141e-07 -3.98767413e-07  3.79566540e-07
 -9.13102825e-07 -1.12161217e-05 -5.24548283e-06 -2.99804529e-07]",8,3.128735670543392e-08
216,16,stagnation_lim,-329.999999970654,"[ 3.04425642e-07 -3.72254163e-06 -2.13247659e-06 -7.38447646e-06
 -7.56347513e-06  2.15035570e-06  3.61029719e-06 -1.63111678e-07]",8,2.9345983421080746e-08
217,17,stagnation_lim,-329.9999999744434,"[ 1.16513762e-06 -6.53955909e-07  6.36999330e-07 -7.34340756e-06
  8.00255806e-08 -8.45284246e-06 -8.74683478e-07 -6.92820294e-07]",8,2.555657374614384e-08
218,18,stagnation_lim,-329.99999999217135,"[-1.83613527e-07  2.48396118e-06  3.23570174e-07 -4.79110550e-06
 -2.95316795e-07 -2.75647604e-06  1.49869920e-06  5.15736993e-07]",8,7.828646175767062e-09
